# Wavelength (um), Band half width, Fp/Fs, Fp/Fs error
@wfc3_g141
1.1425,  0.035,  4.1350e-04,  4.46e-05
1.1775,  0.035,  4.8793e-04,  3.89e-05
1.2125,  0.035,  4.6980e-04,  3.87e-05
1.2475,  0.035,  5.4569e-04,  3.58e-05
1.2825,  0.035,  5.1856e-04,  3.72e-05
1.3175,  0.035,  5.3005e-04,  3.34e-05
1.3525,  0.035,  3.9975e-04,  3.44e-05
1.3875,  0.035,  3.5676e-04,  3.01e-05
1.4225,  0.035,  3.6289e-04,  3.61e-05
1.4575,  0.035,  4.4930e-04,  3.56e-05
1.4925,  0.035,  5.0095e-04,  3.29e-05
1.5275,  0.035,  5.2430e-04,  3.48e-05
1.5625,  0.035,  6.7900e-04,  3.63e-05
1.5975,  0.035,  6.9817e-04,  3.71e-05
1.6325,  0.035,  8.2549e-04,  4.21e-05
@irac
3.6000,  1.000,  4.0089e-03,  1.01e-04
4.5000,  1.000,  4.2937e-03,  1.19e-04
