# Wavelength (um), Band half width, Fp/Fs, Fp/Fs error
@wfc3_g141
1.1425,  0.035,  2.2586e-04,  6.31e-05
1.1775,  0.035,  2.6036e-04,  5.59e-05
1.2125,  0.035,  2.9098e-04,  5.74e-05
1.2475,  0.035,  3.3192e-04,  5.30e-05
1.2825,  0.035,  2.2671e-04,  4.77e-05
1.3175,  0.035,  2.9999e-04,  4.91e-05
1.3525,  0.035,  1.0031e-04,  4.33e-05
1.3875,  0.035,  2.0906e-04,  4.60e-05
1.4225,  0.035,  1.6918e-04,  4.48e-05
1.4575,  0.035,  1.5631e-04,  3.99e-05
1.4925,  0.035,  2.2003e-04,  4.31e-05
1.5275,  0.035,  2.1842e-04,  4.54e-05
1.5625,  0.035,  3.0523e-04,  4.42e-05
1.5975,  0.035,  3.2331e-04,  4.64e-05
1.6325,  0.035,  4.1470e-04,  5.40e-05
@irac
3.6000,  1.000,  1.2765e-03,  1.88e-04
4.5000,  1.000,  2.4932e-03,  2.05e-04
