# Wavelength (um), Band half width, Fp/Fs, Fp/Fs error
@wfc3_g141
1.1425,  0.035,  1.6100e-04,  5.84e-05
1.1775,  0.035,  1.8219e-04,  5.16e-05
1.2125,  0.035,  1.2926e-04,  4.94e-05
1.2475,  0.035,  1.6834e-04,  4.63e-05
1.2825,  0.035,  2.6407e-04,  4.78e-05
1.3175,  0.035,  2.2719e-04,  4.68e-05
1.3525,  0.035,  2.5616e-04,  5.24e-05
1.3875,  0.035,  9.7711e-05,  3.96e-05
1.4225,  0.035,  1.4682e-04,  4.38e-05
1.4575,  0.035,  2.2246e-04,  4.11e-05
1.4925,  0.035,  2.0302e-04,  4.25e-05
1.5275,  0.035,  2.1053e-04,  4.47e-05
1.5625,  0.035,  2.7427e-04,  4.31e-05
1.5975,  0.035,  2.8729e-04,  4.64e-05
1.6325,  0.035,  3.6190e-04,  5.23e-05
@irac
3.6000,  1.000,  6.1144e-04,  1.90e-04
4.5000,  1.000,  1.5915e-03,  2.07e-04
