# Wavelength (um), Band width, Fp/Fs, Fp/Fs error
@wfc3_g141
1.1425,  0.0350,  4.1453e-04,  4.5526e-05
1.1775,  0.0350,  4.8717e-04,  3.9122e-05
1.2125,  0.0350,  4.6969e-04,  3.8038e-05
1.2475,  0.0350,  5.4584e-04,  3.6763e-05
1.2825,  0.0350,  5.1896e-04,  3.7238e-05
1.3175,  0.0350,  5.3022e-04,  3.3088e-05
1.3525,  0.0350,  4.0118e-04,  3.3967e-05
1.3875,  0.0350,  3.5695e-04,  3.0506e-05
1.4225,  0.0350,  3.6433e-04,  3.6353e-05
1.4575,  0.0350,  4.4961e-04,  3.6195e-05
1.4925,  0.0350,  5.0065e-04,  3.2808e-05
1.5275,  0.0350,  5.2462e-04,  3.4718e-05
1.5625,  0.0350,  6.7825e-04,  3.6017e-05
1.5975,  0.0350,  6.9850e-04,  3.7087e-05
1.6325,  0.0350,  8.2543e-04,  4.2564e-05
@irac
3.6000,  1.0000,  3.6515e-03,  7.5997e-05
4.5000,  1.0000,  4.4752e-03,  1.4408e-04
