# Wavelength (um), Band width, Fp/Fs, Fp/Fs error
@wfc3_g141
1.1425,  0.0350,  2.1970e-04,  5.8956e-05
1.1775,  0.0350,  2.5335e-04,  5.0960e-05
1.2125,  0.0350,  2.7549e-04,  5.1510e-05
1.2475,  0.0350,  3.1522e-04,  4.9404e-05
1.2825,  0.0350,  2.3112e-04,  4.5136e-05
1.3175,  0.0350,  2.9422e-04,  4.5019e-05
1.3525,  0.0350,  1.1869e-04,  3.9740e-05
1.3875,  0.0350,  1.9731e-04,  4.2117e-05
1.4225,  0.0350,  1.6981e-04,  4.2120e-05
1.4575,  0.0350,  1.6542e-04,  3.9207e-05
1.4925,  0.0350,  2.1864e-04,  4.0668e-05
1.5275,  0.0350,  2.1970e-04,  4.1388e-05
1.5625,  0.0350,  3.0296e-04,  4.1466e-05
1.5975,  0.0350,  3.2132e-04,  4.4271e-05
1.6325,  0.0350,  4.1140e-04,  5.0904e-05
@irac
3.6000,  1.0000,  1.9818e-03,  1.1191e-04
4.5000,  1.0000,  2.7893e-03,  1.9696e-04
