# Wavelength (um), Band half width, Fp/Fs, Fp/Fs error
@wfc3_g141
1.1425,  0.0350,  2.2554e-04,  6.4067e-05
1.1775,  0.0350,  2.6034e-04,  5.5717e-05
1.2125,  0.0350,  2.9143e-04,  5.6457e-05
1.2475,  0.0350,  3.3101e-04,  5.3976e-05
1.2825,  0.0350,  2.2579e-04,  4.8082e-05
1.3175,  0.0350,  3.0066e-04,  4.9052e-05
1.3525,  0.0350,  1.0021e-04,  4.3163e-05
1.3875,  0.0350,  2.0835e-04,  4.6325e-05
1.4225,  0.0350,  1.7076e-04,  4.4542e-05
1.4575,  0.0350,  1.5692e-04,  4.0707e-05
1.4925,  0.0350,  2.1858e-04,  4.4100e-05
1.5275,  0.0350,  2.1889e-04,  4.4929e-05
1.5625,  0.0350,  3.0435e-04,  4.3922e-05
1.5975,  0.0350,  3.2315e-04,  4.7128e-05
1.6325,  0.0350,  4.1500e-04,  5.3890e-05
@irac
3.6000,  1.0000,  1.9537e-03,  1.1782e-04
4.5000,  1.0000,  2.8703e-03,  2.0681e-04
