# Wavelength (um), Band half width, Fp/Fs, Fp/Fs error
@wfc3_g141
1.1425,  0.0350,  1.6821e-05,  5.5617e-05
1.1775,  0.0350,  7.8562e-06,  4.6985e-05
1.2125,  0.0350,  -4.1457e-06,  4.5848e-05
1.2475,  0.0350,  8.5560e-06,  4.4229e-05
1.2825,  0.0350,  2.8278e-05,  4.7656e-05
1.3175,  0.0350,  5.2634e-05,  4.7093e-05
1.3525,  0.0350,  -5.9440e-06,  4.0019e-05
1.3875,  0.0350,  -1.4124e-05,  3.6798e-05
1.4225,  0.0350,  -1.7610e-06,  4.2211e-05
1.4575,  0.0350,  -1.6187e-05,  3.8973e-05
1.4925,  0.0350,  -1.6504e-05,  3.7356e-05
1.5275,  0.0350,  -2.8415e-05,  3.6096e-05
1.5625,  0.0350,  -1.6301e-05,  3.9590e-05
1.5975,  0.0350,  -2.8668e-06,  4.4279e-05
1.6325,  0.0350,  4.5193e-05,  5.4354e-05
@irac
3.6000,  1.0000,  7.8711e-04,  1.5818e-04
4.5000,  1.0000,  8.5588e-04,  2.8194e-04
