# Wavelength (um), Band half width, Fp/Fs, Fp/Fs error
@wfc3_g141
1.1425,  0.0350,  -2.5763e-05,  5.9104e-05
1.1775,  0.0350,  -4.5094e-05,  4.9883e-05
1.2125,  0.0350,  -4.8232e-05,  5.0410e-05
1.2475,  0.0350,  -4.4801e-05,  4.8094e-05
1.2825,  0.0350,  -2.8835e-05,  5.0365e-05
1.3175,  0.0350,  -1.1915e-06,  5.0945e-05
1.3525,  0.0350,  -4.2172e-05,  4.4707e-05
1.3875,  0.0350,  -5.0183e-05,  4.0378e-05
1.4225,  0.0350,  -4.4509e-05,  4.3909e-05
1.4575,  0.0350,  -6.9840e-05,  3.9866e-05
1.4925,  0.0350,  -7.7472e-05,  3.8687e-05
1.5275,  0.0350,  -9.3671e-05,  3.6613e-05
1.5625,  0.0350,  -9.9000e-05,  4.0621e-05
1.5975,  0.0350,  -8.5910e-05,  4.6208e-05
1.6325,  0.0350,  -4.7059e-05,  5.7426e-05
@irac
3.6000,  1.0000,  4.4286e-04,  1.7530e-04
4.5000,  1.0000,  4.2216e-04,  3.1147e-04
