# Wavelength (um), Band width, Fp/Fs, Fp/Fs error
@wfc3_g141
1.1425,  0.0350,  1.6715e-04,  5.4829e-05
1.1775,  0.0350,  1.8822e-04,  4.7723e-05
1.2125,  0.0350,  1.4553e-04,  4.5033e-05
1.2475,  0.0350,  1.8481e-04,  4.3364e-05
1.2825,  0.0350,  2.5904e-04,  4.4986e-05
1.3175,  0.0350,  2.3455e-04,  4.2642e-05
1.3525,  0.0350,  2.3899e-04,  4.7471e-05
1.3875,  0.0350,  1.0771e-04,  3.6590e-05
1.4225,  0.0350,  1.4999e-04,  4.1572e-05
1.4575,  0.0350,  2.1439e-04,  4.0115e-05
1.4925,  0.0350,  2.0324e-04,  3.9143e-05
1.5275,  0.0350,  2.0988e-04,  4.1672e-05
1.5625,  0.0350,  2.7488e-04,  4.0609e-05
1.5975,  0.0350,  2.8993e-04,  4.3343e-05
1.6325,  0.0350,  3.6603e-04,  5.0608e-05
@irac
3.6000,  1.0000,  2.1077e-03,  1.0991e-04
4.5000,  1.0000,  2.1011e-03,  2.1277e-04
