# Wavelength (um), Band width, Fp/Fs, Fp/Fs error
@wfc3_g141
1.1425,  0.0350,  1.6108e-04,  5.9135e-05
1.1775,  0.0350,  1.8097e-04,  5.1875e-05
1.2125,  0.0350,  1.2884e-04,  4.8818e-05
1.2475,  0.0350,  1.6868e-04,  4.6830e-05
1.2825,  0.0350,  2.6432e-04,  4.7830e-05
1.3175,  0.0350,  2.2800e-04,  4.6161e-05
1.3525,  0.0350,  2.5657e-04,  5.2147e-05
1.3875,  0.0350,  9.6738e-05,  3.9837e-05
1.4225,  0.0350,  1.4859e-04,  4.3837e-05
1.4575,  0.0350,  2.2271e-04,  4.1801e-05
1.4925,  0.0350,  2.0289e-04,  4.2275e-05
1.5275,  0.0350,  2.1042e-04,  4.5252e-05
1.5625,  0.0350,  2.7351e-04,  4.2862e-05
1.5975,  0.0350,  2.8808e-04,  4.5963e-05
1.6325,  0.0350,  3.6248e-04,  5.3445e-05
@irac
3.6000,  1.0000,  2.1337e-03,  1.1471e-04
4.5000,  1.0000,  2.0196e-03,  2.2481e-04
